ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AppCommandLineArgsHandler;0;16;69;0;18;0;0;0;21;3;0;0;0;0;0;0;0;0;0;0
AppCommandLineArgsHandler;0;35;145;0;37;0;0;1;11;3;0;0;0;0;0;0;0;0;0;0
AppCommandLineArgsHandler;0;5;15;0;5;0;0;0;7;0;6;1;1;0;0;0;2;0;0;0
AppCommandLineArgsHandler;0;7;20;0;7;0;0;0;11;0;4;1;1;0;0;0;1;0;0;0
AppConfigProjectFile;0;1;11;0;1;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0
AppDirectories;0;5;30;34;5;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0
AppDomainDebugCallbackEventArgs;0;3;11;0;0;1;2;5;3;0;0;0;0;0;0;0;0;0;0;0
AppDomainDebuggerEventArgs;0;1;9;0;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0
AppearanceCategoryConstants;0;1;6;66;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AppearanceCategoryEditorOptionDefinition;0;1;5;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0
ApplicationIcon;0;14;93;1;16;0;0;7;48;3;1;1;1;0;1;0;1;0;0;0
ApplicationManifest;0;5;26;0;6;0;0;7;10;1;0;0;0;0;0;0;0;0;0;0
ApplicationManifestProjectFile;0;1;8;11;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0
AppMenuCommands;0;4;109;0;0;0;0;3;50;0;0;0;0;0;0;0;0;0;0;0
AppRefreshSettings;0;1;9;0;3;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0
AppService;0;1;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AppSettings;0;2;14;0;1;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0
AppSettingsConstants;0;1;65;74;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AppSettingsDlg;0;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
AppSettingsImpl;0;2;20;0;2;1;0;4;9;0;0;0;0;0;0;0;0;0;0;0
AppSettingsPage;1;2;17;75;6;0;0;0;8;10;0;0;0;0;0;0;0;0;0;0
AppSettingsPageContainer;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AppSettingsPageContainer;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AppSettingsPageContainer;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
