ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ThrottlerProvider;1;1;7;12;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
ThrottleTransportAdapter;1;4;52;42;4;3;0;11;13;0;10;3;6;0;0;0;1;0;0;0
ForceDisassociate;0;1;8;46;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
ForceDisassociateExplicitly;0;1;10;52;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
ForceDisassociateAck;1;1;12;25;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
ThrottlerManager;1;29;211;33;36;3;0;17;85;7;12;7;29;0;0;0;12;0;0;0
ThrottleMode;0;1;5;70;2;0;3;9;2;1;0;0;0;0;0;0;0;0;0;0
Blackhole;1;1;20;23;2;1;0;5;5;1;0;0;0;0;0;0;0;0;0;0
Unthrottled;1;1;20;20;2;1;0;5;5;1;0;0;0;0;0;0;0;0;0;0
TokenBucket;1;11;82;22;18;1;0;3;30;0;0;0;0;0;0;0;0;0;0;0
SetThrottle;1;8;43;40;10;0;0;6;13;0;0;0;0;0;0;0;0;0;0;0
SetThrottleAck;1;1;9;30;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0
ThrottlerHandle;1;5;37;26;7;2;0;9;14;1;0;0;0;0;0;0;0;0;0;0
ThrottledAssociation;1;33;276;27;36;3;0;14;115;0;38;8;170;0;28;0;20;0;0;9
Transport;0;1;15;74;5;0;3;15;6;10;6;1;1;0;0;0;0;0;0;0
