ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
NameValueCollectionConverter;0;8;50;0;10;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0
ObjectSerializer;0;1;29;0;3;0;0;9;11;1;0;0;0;0;0;0;0;0;0;0
LogSerializer;0;1;17;22;1;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0
AuthorizeRequestValidationLog;0;5;65;0;1;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0
AuthorizeResponseLog;0;5;24;0;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationRequestValidationLog;0;3;28;0;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
EndSessionRequestValidationLog;0;4;33;0;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
TokenRequestValidationLog;1;3;43;0;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
TokenValidationLog;0;1;15;16;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
IsActiveContext;0;4;17;61;0;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0
ProfileDataRequestContext;0;1;19;73;0;0;0;6;11;0;0;0;0;0;0;0;0;0;0;0
DeviceFlowAuthorizationRequest;0;1;5;70;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DeviceFlowInteractionResult;0;1;14;62;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
DiscoveryDocument;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GrantTypes;1;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IdentityResources;0;1;54;39;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
JsonWebKey;0;1;11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
AuthorizationRequest;0;1;32;70;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0
ConsentRequest;0;2;35;53;0;0;0;3;10;0;5;2;2;0;0;0;0;0;0;0
ConsentResponse;0;2;7;75;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0
EndSession;0;1;6;60;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
ErrorMessage;0;1;11;78;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
LogoutMessage;0;10;40;44;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0
LogoutRequest;0;2;26;59;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
Message;0;1;13;61;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ParsedSecret;0;1;7;77;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0
TokenCreationRequest;0;3;15;75;3;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0
AuthorizeInteractionResponseGenerator;0;40;193;23;42;0;0;9;62;0;0;0;0;0;0;0;0;0;0;0
AuthorizeResponseGenerator;0;6;117;30;10;0;0;8;35;0;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationResponseGenerator;0;9;64;36;9;0;0;9;20;0;0;0;0;0;0;0;0;0;0;0
DiscoveryResponseGenerator;1;54;291;15;55;0;0;13;94;0;1;4;4;0;0;0;0;0;0;0
IntrospectionResponseGenerator;0;4;54;37;5;0;0;4;31;0;14;9;9;0;0;0;2;0;0;0
TokenResponseGenerator;1;25;259;28;34;0;0;10;75;1;0;0;0;0;0;0;0;0;0;0
TokenRevocationResponseGenerator;0;8;82;30;10;0;0;6;21;0;0;0;0;0;0;0;0;0;0;0
UserInfoResponseGenerator;0;11;81;30;13;0;0;7;43;0;5;5;5;0;0;0;1;0;0;0
AuthorizeResponse;0;7;15;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationResponse;0;1;9;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
InteractionResponse;0;1;10;80;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
TokenErrorResponse;1;1;6;75;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
TokenResponse;0;1;8;78;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
TokenRevocationResponse;0;1;6;75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BackChannelLogoutHttpClient;0;3;29;27;3;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0
DefaultBackChannelLogoutService;0;3;65;39;7;0;0;5;31;10;1;1;1;0;0;0;0;0;0;0
DefaultCache;0;1;26;40;3;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0
DefaultClaimsService;0;26;166;26;31;0;0;7;77;7;2;4;4;0;2;0;0;0;0;0
DefaultConsentService;0;18;96;31;19;0;0;4;39;0;0;0;0;0;0;0;0;0;0;0
DefaultCorsPolicyService;0;5;36;38;5;0;0;4;12;0;0;0;0;0;0;0;0;0;0;0
DefaultDeviceFlowCodeService;0;1;33;49;5;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0
DefaultDeviceFlowInteractionService;0;8;52;5;10;0;0;6;20;1;0;0;0;0;0;0;0;0;0;0
DefaultEventService;0;10;66;39;13;0;0;5;17;6;0;0;0;0;0;0;0;0;0;0
DefaultEventSink;0;2;14;46;2;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
DefaultHandleGenerationService;0;1;7;41;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
DefaultIdentityServerInteractionService;0;19;151;0;27;0;0;10;49;8;0;0;0;0;0;0;0;0;0;0
DefaultKeyMaterialService;0;3;27;32;4;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0
DefaultPersistedGrantService;1;8;95;17;10;0;0;4;39;1;25;12;33;0;8;0;1;0;0;0
DefaultProfileService;0;1;21;46;2;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0
DefaultRefreshTokenService;0;8;77;33;9;0;0;3;24;0;0;0;0;0;0;0;0;0;0;0
DefaultTokenCreationService;0;4;47;44;7;0;0;3;21;4;0;0;0;0;0;0;0;0;0;0
DefaultTokenService;0;11;135;30;14;0;0;6;59;0;0;0;0;0;0;0;0;0;0;0
DefaultUserCodeService;0;1;10;50;1;0;0;1;6;0;9;1;1;0;0;0;0;0;0;0
DefaultUserSession;0;30;213;33;45;0;0;5;78;92;0;0;0;0;0;0;0;0;0;0
DistributedDeviceFlowThrottlingService;0;5;38;29;5;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0
JwtRequestUriHttpClient;0;2;24;31;2;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0
NumericUserCodeGenerator;0;5;31;34;6;0;0;2;10;1;0;0;0;0;0;0;0;0;0;0
OidcReturnUrlParser;0;7;50;0;8;0;0;5;17;0;0;0;0;0;0;0;0;0;0;0
ReturnUrlParser;0;5;31;34;6;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
InMemoryCorsPolicyService;0;2;27;37;2;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0
CachingClientStore;0;1;23;37;1;0;0;2;4;0;4;1;1;0;1;0;0;0;0;0
CachingCorsPolicyService;0;1;34;38;1;0;0;2;6;0;2;1;1;0;1;0;0;0;0;0
CachingResourceStore;1;3;67;30;7;0;0;2;19;0;8;6;6;0;4;0;0;0;0;0
ConsentMessageStore;0;1;22;0;3;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0
DefaultAuthorizationCodeStore;0;1;23;48;3;1;0;4;8;3;0;0;0;0;0;0;0;0;0;0
DefaultGrantStore;1;5;82;47;10;0;0;0;29;15;0;0;0;0;0;0;0;0;0;0
DefaultReferenceTokenStore;0;1;27;50;4;1;0;4;9;6;0;0;0;0;0;0;0;0;0;0
DefaultRefreshTokenStore;0;1;31;52;5;1;0;4;11;10;0;0;0;0;0;0;0;0;0;0
DefaultSigningCredentialsStore;0;1;12;40;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
DefaultUserConsentStore;1;1;30;44;4;1;0;4;11;6;0;0;0;0;0;0;0;0;0;0
DefaultValidationKeysStore;0;2;13;40;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
ProtectedDataMessageStore;0;4;46;0;5;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0
InMemoryClientStore;0;2;20;35;1;0;0;1;6;0;4;1;1;0;0;0;0;0;0;0
InMemoryDeviceFlowStore;0;5;66;27;9;0;0;1;16;0;5;4;4;0;0;0;0;0;0;0
InMemoryPersistedGrantStore;0;7;61;35;12;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0
InMemoryResourcesStore;0;7;47;33;6;0;0;1;24;0;4;2;2;0;0;0;0;0;0;0
ValidatingClientStore;0;3;39;26;3;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0
ClientConfigurationValidationContext;0;1;15;63;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
CustomAuthorizeRequestValidationContext;0;1;4;42;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
CustomTokenRequestValidationContext;0;1;4;60;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
