ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
HelpCommandParser;0;1;14;0;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
InternalReportinstallsuccess;0;2;40;0;3;0;0;5;18;6;0;0;0;0;0;0;0;0;0;0
InstallerSuccessReport;0;1;8;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
InternalReportinstallsuccessCommandParser;0;1;8;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ListPackageReferencesCommand;0;14;98;15;16;1;0;4;46;4;1;1;1;0;0;0;0;0;0;0
ListPackageReferencesCommandParser;0;2;49;0;3;0;0;4;38;1;5;3;3;0;0;0;0;0;0;0
ListProjectToProjectReferencesCommand;0;7;50;3;3;1;0;4;25;0;0;0;0;0;0;0;0;0;1;0
ListProjectToProjectReferencesCommandParser;0;1;11;0;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0
ListCommand;1;1;23;0;1;1;0;5;6;0;14;2;4;0;0;0;0;0;0;0
ListCommandParser;1;1;28;6;1;0;0;7;10;1;0;0;0;0;0;0;0;0;0;0
DotnetNewRedirector;0;2;28;0;3;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0
DotnetSlnRedirector;0;3;27;0;4;0;0;3;12;1;0;0;0;0;0;0;0;0;0;0
MigrateCommandCompose;0;3;41;8;4;0;0;3;21;1;0;0;0;0;0;0;0;0;0;0
MigrateCommandParser;0;1;29;0;1;0;0;3;16;0;0;0;0;0;0;0;0;0;0;0
MSBuildForwardingApp;1;3;41;2;5;0;4;9;12;1;0;0;0;0;0;0;0;0;0;0
MSBuildForwardingLogger;0;2;21;4;4;0;0;1;5;1;4;1;1;0;0;0;0;0;0;0
MSBuildLogger;0;15;99;8;18;0;0;3;28;8;0;0;0;0;0;0;0;0;0;0
MSBuildCommand;0;1;7;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
NuGetCommandParser;0;1;50;0;1;0;0;2;41;0;0;0;0;0;0;0;0;0;0;0
NuGetCommand;0;2;29;0;4;0;0;5;15;1;0;0;0;0;0;0;0;0;0;0
PackCommand;0;2;37;0;3;2;0;5;16;1;0;0;0;0;0;0;0;0;0;0
PackCommandParser;0;1;43;0;1;0;0;6;31;0;2;1;1;0;0;0;0;0;0;0
PublishCommand;0;2;37;0;3;2;0;5;18;1;0;0;0;0;0;0;0;0;0;0
