ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
InstructionCollection;0;39;294;14;61;0;0;3;99;0;0;0;0;0;0;0;0;0;0;0
LdLen;0;3;23;0;1;1;0;11;10;0;0;0;0;0;0;0;0;0;0;0
Leave;0;14;69;14;11;1;0;32;21;0;0;0;0;0;0;0;0;0;0;0
LdObj;0;4;23;0;4;1;0;23;13;0;0;0;0;0;0;0;0;0;0;0
StObj;0;4;28;0;4;1;0;26;18;0;0;0;0;0;0;0;0;0;0;0
ILInstruction;0;92;410;10;131;0;57;229;67;398;0;0;0;0;0;0;0;0;0;0
SimpleInstruction;0;1;8;11;1;1;26;26;3;0;0;0;0;0;0;0;0;0;0;0
Nop;0;3;16;5;3;2;0;15;8;0;0;0;0;0;0;0;0;0;0;0
InvalidBranch;0;2;22;0;2;2;0;12;8;0;0;0;0;0;0;0;0;0;0;0
InvalidExpression;0;2;23;0;2;2;0;12;8;0;0;0;0;0;0;0;0;0;0;0
SwitchInstruction;0;12;103;4;19;1;0;24;46;0;0;1;1;0;0;0;0;0;0;0
SwitchSection;0;3;36;14;4;1;0;17;14;0;0;0;0;0;0;0;0;0;0;0
TryInstruction;0;1;16;0;0;1;6;8;4;0;0;0;0;0;0;0;0;0;0;0
TryCatch;0;6;66;0;12;2;0;20;22;0;1;1;1;0;0;0;0;0;0;0
TryCatchHandler;0;2;37;2;4;1;0;26;18;0;0;0;0;0;0;0;0;0;0;0
TryFinally;0;10;81;1;16;2;0;19;23;9;0;0;0;0;0;0;0;0;0;0
TryFault;0;10;79;1;16;2;0;13;23;9;0;0;0;0;0;0;0;0;0;0
BitNot;0;3;36;0;4;2;0;10;13;1;0;0;0;0;0;0;0;0;0;0
CaptureGroup;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SlotInfo;0;1;17;34;1;0;0;44;3;0;0;0;0;0;0;0;0;0;0;0
BlockTransformContext;0;1;9;68;0;1;0;18;1;0;0;0;0;0;0;0;0;0;0;0
BlockILTransform;0;4;42;8;6;0;0;10;24;3;2;1;1;0;0;0;0;0;0;0
CachedDelegateInitialization;0;71;122;21;75;0;0;12;65;0;2;3;3;0;0;0;3;0;0;0
CopyPropagation;0;22;80;16;25;0;0;14;30;0;0;0;0;0;0;0;0;0;0;0
ILTransformContext;0;1;52;11;4;0;2;46;17;6;0;0;0;0;0;0;0;0;0;0
ILInlining;0;122;441;22;143;0;0;35;108;152;0;1;1;0;0;0;0;0;0;0
ExpressionTransforms;1;83;301;8;103;1;0;25;154;44;0;0;0;0;0;0;0;0;0;0
LoopingBlockTransform;0;3;29;0;3;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0
DelegateConstruction;1;56;254;5;46;0;0;24;125;96;2;6;6;0;1;0;0;0;0;0
RemoveDeadVariableInit;0;25;50;15;25;0;0;12;15;0;0;0;0;0;0;0;0;0;0;0
SplitVariables;0;41;154;26;36;0;0;15;44;26;0;0;0;0;0;0;0;0;0;0
StepLimitReachedException;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stepper;0;7;71;18;10;0;0;3;22;0;0;0;0;0;0;0;0;0;0;0
TransformArrayInitializers;0;175;607;3;197;0;0;20;292;73;5;21;33;0;0;0;18;0;0;2
DisassemblerHelpers;1;125;447;1;145;0;0;14;216;64;0;0;0;0;0;0;0;0;0;0
ILStructure;0;43;172;17;31;0;0;7;52;9;1;2;2;0;2;0;2;0;0;0
MethodBodyDisassembler;0;96;427;7;106;0;0;8;194;0;0;0;0;0;0;0;0;0;0;0
ReflectionDisassembler;1;295;1492;6;309;0;0;8;792;247;0;1;1;0;0;0;3;0;0;0
DisassemblerSignatureProvider;0;48;218;0;62;0;0;5;98;0;37;30;129;0;52;0;27;0;0;4
SemanticHelper;0;11;42;28;14;0;0;19;16;4;4;2;2;0;0;0;0;0;0;0
BlockBuilder;0;40;195;7;45;0;0;14;120;0;1;3;3;0;0;0;1;0;0;0
ILOpCodeExtensions;0;1;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ILReader;0;425;1465;4;475;0;0;30;1025;1079;0;0;0;0;0;0;0;0;1;0
ILTypeExtensions;0;49;160;11;54;0;0;22;25;7;0;0;0;0;0;0;0;0;0;0
VariableKindExtensions;0;3;17;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ILVariable;0;41;199;36;41;0;0;70;69;70;0;0;0;0;0;0;0;0;0;0
ILVariableEqualityComparer;0;11;27;0;12;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0
InstructionOutputExtensions;0;74;328;0;81;0;0;4;204;1;0;0;0;0;0;0;0;0;0;0
TransformAssignment;1;147;369;26;161;0;0;19;161;51;0;0;0;0;0;0;0;0;0;0
NRExtensions;0;13;58;0;16;0;0;1;26;15;0;0;0;0;0;0;0;0;0;0
TextOutputExtensions;0;1;16;0;3;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0
PlainTextOutput;0;7;98;0;18;0;0;2;35;27;0;0;0;0;0;0;0;0;0;0
TextOutputWithRollback;0;2;72;0;14;0;0;2;40;0;14;12;12;0;0;0;0;0;0;0
TextOutputWriter;0;2;25;0;3;2;0;0;9;0;0;0;0;0;0;0;0;0;0;0
AmbiguousTypeResolveResult;0;1;9;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AmbiguousMemberResolveResult;0;1;9;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0
ArrayAccessResolveResult;0;3;18;0;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0
ArrayCreateResolveResult;0;3;20;25;2;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0
ByReferenceResolveResult;0;3;30;0;4;1;0;4;8;1;0;0;0;0;0;0;0;0;0;0
ConstantResolveResult;0;1;18;0;1;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0
Conversion;0;39;405;16;11;0;1;13;63;22;0;1;1;0;0;0;0;0;0;0
ConversionResolveResult;0;3;28;9;1;1;1;5;5;0;0;0;0;0;0;0;0;0;0;0
ErrorResolveResult;0;1;17;15;0;1;0;8;3;0;0;0;0;0;0;0;0;0;0;0
ForEachResolveResult;0;5;27;44;0;1;0;2;5;0;0;0;0;0;0;0;0;0;0;0
InitializedObjectResolveResult;0;1;6;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
InvocationResolveResult;0;1;27;32;2;2;1;3;6;0;0;0;0;0;0;0;0;0;0;0
LocalResolveResult;0;7;37;0;7;1;0;4;7;1;0;0;0;0;0;0;0;0;0;0
MemberResolveResult;0;11;90;9;7;1;2;12;14;3;0;0;0;0;0;0;0;0;0;0
NamedArgumentResolveResult;0;5;33;29;1;1;0;2;7;0;0;0;0;0;0;0;0;0;0;0
NamespaceResolveResult;0;1;18;0;1;1;1;7;4;0;0;0;0;0;0;0;0;0;0;0
OperatorResolveResult;0;3;41;24;1;1;0;5;5;0;0;0;0;0;0;0;0;0;0;0
ResolveResult;0;2;36;0;3;0;28;54;8;3;0;0;0;0;0;0;0;0;0;0
SizeOfResolveResult;0;2;31;8;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
ThisResolveResult;0;1;11;21;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
TypeIsResolveResult;0;3;15;16;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
TypeOfResolveResult;0;2;14;17;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0
TypeResolveResult;0;1;10;0;0;1;2;14;1;0;0;0;0;0;0;0;0;0;0;0
UnknownMemberResolveResult;0;2;31;8;1;1;1;4;7;0;0;0;0;0;0;0;0;0;0;0
UnknownMethodResolveResult;0;1;12;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0
UnknownIdentifierResolveResult;0;1;24;0;1;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0
ArrayType;0;22;121;3;22;2;0;20;41;0;0;0;0;0;0;0;0;0;0;0
ArrayTypeReference;0;5;38;0;6;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0
ByReferenceType;0;3;39;0;6;2;0;17;10;0;0;0;0;0;0;0;0;0;0;0
ByReferenceTypeReference;0;3;31;0;5;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
ComHelper;0;7;22;21;8;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0
DecompilerTypeSystem;1;67;345;9;75;0;0;7;146;56;2;10;10;0;0;0;0;0;1;0
FullTypeNameComparer;0;9;43;0;10;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0
InterningProvider;0;1;32;37;5;0;0;8;11;3;0;0;0;0;0;0;0;0;0;0
FreezableHelper;0;9;45;11;14;0;0;1;16;15;0;0;0;0;0;0;0;0;0;0
AbstractFreezable;0;2;18;25;3;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0
AbstractTypeParameter;0;44;290;2;49;0;2;10;71;132;0;2;2;0;0;0;0;0;0;0
AbstractType;1;2;118;0;20;0;6;8;31;66;0;0;0;0;0;0;0;0;1;0
