ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ChapterInfo;0;1;8;60;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
CollectionType;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpecialFolder;0;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DisplayPreferences;0;1;26;70;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
EmptyRequestResult;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LibraryUpdateInfo;0;6;19;54;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
MediaStream;0;51;236;36;27;0;0;9;61;3;0;2;2;0;0;0;0;0;0;0
MediaType;0;1;7;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MediaUrl;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
PackageReviewInfo;0;1;9;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ParentalRating;0;1;13;38;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
PersonType;0;1;11;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ProviderIdsExtensions;0;8;53;37;12;0;0;0;21;3;0;0;0;0;0;0;0;0;0;0
VirtualFolderInfo;0;1;15;60;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
GenericEventArgs;0;1;11;50;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ListHelper;0;4;18;0;4;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0
StringHelper;0;3;27;34;5;0;0;10;17;3;0;0;0;0;0;0;0;0;0;0
CountryInfo;0;1;7;69;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
CultureDto;0;2;23;41;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
LocalizationOption;0;1;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
FileSystemEntryInfo;0;1;6;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FileSystemMetadata;0;1;12;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
StreamDefaults;0;1;5;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UserViewQuery;0;1;12;50;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
BaseTimerInfoDto;0;1;26;73;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
GuideInfo;0;1;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LiveTvChannelQuery;0;1;25;69;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
LiveTvInfo;0;1;11;52;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
LiveTvOptions;0;1;23;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
TunerHostInfo;0;1;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ListingsProviderInfo;0;1;31;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
LiveTvServiceInfo;0;1;15;65;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
RecordingQuery;0;1;26;58;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
SeriesTimerInfoDto;0;1;21;65;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
SeriesTimerQuery;0;1;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TimerInfoDto;0;1;12;62;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
TimerQuery;0;1;8;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AudioCodec;0;6;24;0;6;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
BlurayDiscInfo;0;1;8;66;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Container;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LiveStreamRequest;0;2;36;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
LiveStreamResponse;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
MediaInfo;0;1;28;50;0;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0
PlaybackInfoRequest;0;1;31;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
PlaybackInfoResponse;0;1;10;54;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
SubtitleFormat;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SubtitleTrackEvent;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SubtitleTrackInfo;0;1;8;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
VideoCodec;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EndPointInfo;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HttpException;0;1;13;56;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
IpAddressInfo;0;1;23;0;2;0;0;5;8;1;0;0;0;0;0;0;0;0;0;0
IpEndPointInfo;0;2;18;0;2;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
MimeTypes;1;48;285;5;53;0;0;1;95;8;1;3;3;0;0;0;0;0;0;0
NetworkShare;0;1;8;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SocketReceiveResult;0;1;7;56;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
WebSocketMessage;0;1;7;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NotificationOption;0;1;15;54;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
NotificationOptions;0;12;112;0;16;0;0;4;35;10;0;0;0;0;0;0;0;0;0;0
NotificationRequest;0;1;16;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
NotificationTypeInfo;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PlaylistCreationRequest;0;1;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
PlaylistCreationResult;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
