ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
EnableCorsAttribute;0;1;13;40;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
CorsConstants;0;1;14;70;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
CorsEndpointConventionBuilderExtensions;0;4;34;26;5;0;0;2;17;0;19;2;8;0;0;0;1;0;0;0
CorsMiddleware;0;21;153;19;16;0;0;6;45;1;0;0;0;0;0;0;0;0;0;0
CorsMiddlewareExtensions;0;5;35;32;7;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0
CorsOptions;0;9;69;26;13;0;0;5;30;3;0;0;0;0;0;0;0;0;0;0
CorsPolicy;0;15;94;29;3;0;0;9;39;1;0;0;0;0;0;0;0;0;0;0
CorsPolicyBuilder;0;15;136;41;29;0;0;8;53;0;0;0;0;0;0;0;0;0;0;0
CorsPolicyExtensions;0;3;23;4;4;0;0;2;11;0;8;2;2;0;0;0;1;0;0;0
CorsResult;0;3;48;41;2;0;0;3;27;0;0;0;0;0;0;0;0;0;0;0
CorsService;0;31;174;11;36;0;0;8;58;13;0;0;0;0;0;0;0;0;0;0
DefaultCorsPolicyProvider;0;3;22;18;3;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0
UriHelpers;0;5;11;0;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
TypeNameHelper;0;21;141;6;25;0;0;1;42;4;0;0;0;0;0;0;0;0;0;0
ApplicationBuilderFactory;0;1;12;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
GenericHostWebHostBuilderExtensions;0;1;10;0;1;0;0;2;5;0;9;1;1;0;0;0;0;0;0;0
GenericWebHostApplicationLifetime;0;1;13;7;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
