ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
Stats;0;46;308;17;34;0;0;4;83;78;0;0;0;0;0;0;0;0;0;0
Utils;0;79;749;12;144;0;0;31;263;1120;0;0;0;0;0;0;0;0;0;0
SubsetStream;0;11;78;16;12;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0
SummaryStatisticsBase;0;14;79;37;18;0;2;5;11;0;0;0;0;0;0;0;0;0;0;0
SummaryStatisticsUpToSecondOrderMoments;0;1;11;38;0;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0
SummaryStatistics;0;7;117;34;9;1;0;5;34;0;0;0;0;0;0;0;0;0;0;0
SupervisedBinFinder;0;37;232;19;37;0;0;7;61;4;0;1;1;0;0;0;0;0;0;0
TextReaderStream;0;15;121;19;22;0;0;2;47;20;0;0;0;0;0;0;0;0;0;0
Utils;0;7;90;32;3;0;0;31;25;3;20;1;23;0;4;0;5;0;0;0
ExceptionMarshaller;0;3;37;38;5;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0
Tree;0;9;114;35;21;0;0;4;39;0;0;0;0;0;0;0;0;0;0;0
Utils;0;133;787;24;217;0;0;31;318;630;0;0;0;0;0;0;0;0;0;0
VBufferUtils;0;215;988;22;239;0;0;5;298;253;0;1;1;0;0;0;0;0;0;0
AlignedArray;0;23;142;16;31;0;0;11;59;0;0;0;0;0;0;0;0;0;0;0
CpuAlignedVector;0;17;116;38;27;0;0;6;52;0;0;0;0;0;0;0;0;0;0;0
CpuAlignedMatrixBase;0;10;88;35;15;0;2;9;35;9;0;0;0;0;0;0;0;0;0;0
CpuAlignedMatrixRowBase;0;9;63;30;12;1;1;5;16;3;0;0;0;0;0;0;0;0;0;0
CpuAlignedMatrixRow;0;3;25;48;4;2;0;5;9;1;0;0;0;0;0;0;0;0;0;0
CpuAlignedMatrixCol;0;13;62;39;18;1;0;5;16;6;0;0;0;0;0;0;0;0;0;0
CpuAligenedMathUtils;0;1;60;35;8;0;0;7;37;8;0;0;0;0;0;0;0;0;0;0
GeneralUtils;0;7;32;13;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
CpuMathUtils;0;21;361;5;48;0;0;6;212;202;0;0;0;0;0;0;0;0;0;0
EigenUtils;0;49;291;21;53;0;0;2;24;10;0;0;0;0;0;0;0;0;0;0
IntUtils;0;25;169;40;38;0;0;3;39;37;0;0;0;0;0;0;0;0;0;0
ProbabilityFunctions;0;19;106;18;22;0;0;2;18;6;0;0;0;0;0;0;0;0;0;0
Thunk;0;1;64;31;28;0;0;3;28;0;0;0;0;0;0;0;0;0;0;0
CrossValidationCommand;0;37;460;11;33;1;0;13;211;27;4;8;22;0;6;0;6;0;0;1
DataCommand;0;34;287;13;0;0;0;17;132;5;0;1;1;0;0;0;0;0;0;0
LoaderUtils;0;1;25;19;2;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0
DefaultColumnNames;0;1;17;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0
MetricColumn;0;8;48;9;8;0;0;14;11;0;0;0;0;0;0;0;0;0;0;0
EvaluateTransform;0;2;39;2;2;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0
EvaluateCommand;0;4;75;0;5;1;0;10;42;0;1;1;1;0;0;0;0;0;0;0
SaveDataCommand;0;4;57;0;5;1;0;7;24;0;0;0;0;0;0;0;0;0;0;0
ShowDataCommand;0;10;80;2;11;1;0;6;34;0;0;0;0;0;0;0;0;0;0;0
DataSaverUtils;0;5;34;0;6;0;0;6;29;0;0;0;0;0;0;0;0;0;0;0
SavePredictorCommand;0;3;68;17;6;0;0;1;40;2;0;0;0;0;0;0;0;0;0;0
SavePredictorUtils;0;14;100;3;16;0;0;4;46;1;0;0;0;0;0;0;0;0;0;0
ScoreCommand;0;32;160;3;34;1;0;9;73;0;0;1;1;0;0;0;3;0;0;0
ScoreUtils;0;14;124;17;19;0;0;14;54;10;13;2;19;0;2;0;5;0;0;1
ShowSchemaCommand;0;35;231;4;44;1;0;5;111;28;0;1;1;0;0;0;0;0;0;0
TrainCommand;0;7;128;6;9;1;0;7;58;0;0;0;0;0;0;0;0;0;0;0
TrainUtils;0;31;237;16;43;0;0;21;162;53;1;3;3;0;0;0;1;0;0;0
TypeInfoCommand;0;15;117;1;11;0;0;1;72;6;6;8;8;0;0;0;0;0;0;0
DataDebuggerPreview;0;6;77;1;2;0;0;1;30;1;13;2;12;0;0;0;9;0;0;1
BinaryLoader;0;150;1531;22;60;0;0;22;655;743;5;22;82;0;15;0;33;0;0;5
BinaryLoaderSaverCatalog;0;1;28;40;3;0;0;4;24;1;0;0;0;0;0;0;0;0;0;0
BinarySaver;0;58;639;20;69;0;0;15;307;0;2;9;14;0;1;0;17;0;0;0
CodecFactory;0;12;133;20;18;0;0;8;99;7;0;0;0;0;0;0;0;0;0;0
CodecFactory;0;70;1039;12;14;0;0;8;370;70;2;6;32;0;11;0;16;0;0;2
CompressionCodecExtension;0;7;27;35;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
MemoryStreamPool;0;1;22;4;2;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0
MemoryStreamCollection;0;3;21;19;4;0;0;2;12;1;0;0;0;0;0;0;0;0;0;0
UnsafeTypeOps;0;1;7;0;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0
