ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
KeyPropagator;1;21;115;13;24;0;0;4;29;6;0;0;0;0;0;0;0;0;0;0
KeyValueFactoryFactory;0;4;45;11;7;0;0;5;20;6;4;2;2;0;0;0;6;0;0;0
LocalViewListener;1;2;17;52;4;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0
NavigationFixer;1;176;803;9;195;0;0;4;205;116;0;1;2;0;0;0;1;0;0;0
NullableKeyIdentityMap;0;4;37;32;5;1;0;3;16;1;0;0;0;0;0;0;0;0;0;0
ObservableBackedBindingList;0;27;162;31;36;1;0;1;35;17;0;0;0;0;0;0;0;0;0;0
OriginalPropertyValues;0;1;15;66;4;2;0;3;11;3;0;0;0;0;0;0;0;0;0;0
InternalEntityEntry;1;17;87;0;0;0;3;75;37;0;0;0;0;0;0;0;0;0;0;0
OriginalValuesFactoryFactory;1;2;9;66;4;2;0;2;7;3;0;0;0;0;0;0;0;0;0;0
RelationshipSnapshotFactoryFactory;1;2;9;66;4;2;0;2;7;3;0;0;0;0;0;0;0;0;0;0
InternalEntityEntry;1;15;83;0;0;0;3;75;30;9;0;0;0;0;0;0;0;0;0;0
ShadowValuesFactoryFactory;1;2;21;63;6;2;0;1;12;10;0;0;0;0;0;0;0;0;0;0
InternalEntityEntry;0;7;41;0;0;0;3;75;17;0;0;0;0;0;0;0;0;0;0;0
SidecarValuesFactoryFactory;0;2;9;66;4;2;0;2;7;3;0;0;0;0;0;0;0;0;0;0
SimpleFullyNullableDependentKeyValueFactory;1;1;33;52;5;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0
SimpleNonNullableDependentKeyValueFactory;1;2;39;48;6;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0
SimpleNullableDependentKeyValueFactory;1;3;38;48;8;0;0;3;16;0;0;0;0;0;0;0;0;0;0;0
SimpleNullablePrincipalDependentKeyValueFactory;1;2;40;47;6;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0
SimplePrincipalKeyValueFactory;0;5;59;50;8;0;0;4;34;25;0;0;0;0;0;0;0;0;0;0
Snapshot;1;32;98;26;34;0;0;33;45;3;0;0;0;0;0;0;0;0;0;0
SnapshotFactoryFactory;1;24;188;20;33;0;2;12;78;45;0;1;1;0;1;0;0;0;0;0
SnapshotFactoryFactory;0;2;15;28;2;1;0;3;6;0;6;1;1;0;1;0;0;0;0;0
SortableBindingList;0;6;58;42;3;0;0;1;24;4;0;0;0;0;0;0;0;0;0;0
InternalEntityEntry;1;9;98;2;0;0;3;75;12;0;0;0;0;0;0;0;0;0;0;0
StateManager;1;125;716;31;170;0;0;17;283;650;0;7;7;0;0;0;4;0;0;0
StateManagerDependencies;0;1;272;38;14;0;0;8;29;0;0;0;0;0;0;0;0;0;0;0
StateManagerExtensions;0;2;21;36;3;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0
ValueComparerExtensions;0;1;44;15;1;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0
ValueGenerationManager;1;16;120;20;24;0;0;8;37;34;0;0;0;0;0;0;0;0;0;0
LocalView;0;32;226;35;48;0;0;6;72;96;0;0;0;0;0;0;0;0;0;0
MemberEntry;1;1;31;64;3;0;2;9;12;3;0;0;0;0;0;0;0;0;0;0
NavigationEntry;1;24;143;36;25;1;2;10;68;21;0;1;1;0;0;0;0;0;0;0
ObservableCollectionListSource;0;1;18;57;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
ObservableHashSet;0;13;163;53;42;0;0;2;118;0;3;6;6;0;2;0;4;0;0;0
ObservableHashSetSingletons;0;1;8;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
PropertyEntry;1;2;40;43;0;1;1;7;9;0;0;0;0;0;0;0;0;0;0;0
PropertyEntry;1;1;25;51;0;2;0;5;5;0;0;0;0;0;0;0;0;0;0;0
PropertyValues;0;3;42;70;12;0;2;10;17;21;0;0;0;0;0;0;0;0;0;0
ReferenceEntry;0;7;44;33;7;2;1;12;14;1;0;0;0;0;0;0;0;0;0;0
ReferenceEntry;0;2;31;53;1;3;0;5;9;0;0;0;0;0;0;0;0;0;0;0
ValueComparer;0;1;59;54;6;0;1;26;32;15;0;0;0;0;0;0;0;0;0;0
